gene,chromosome,strand,tss
ENSG00000294343,chr6,+,170438361
ENSG00000294293,chr6,-,170524867
ENSG00000288970,chr6,+,170464583
ENSG00000288829,chr6,-,170535017
PSMB1,chr6,-,170553307
TBP,chr6,+,170554301
PDCD2,chr6,-,170584692
ENSG00000304206,chr6,+,170584754
ENSG00000308355,chr6,-,170612701
ENSG00000230423,chr6,+,170612423
ENSG00000234986,chr6,+,170695312
ENSG00000298627,chr6,-,170735094
ENSG00000225532,chr6,-,170737804
ENSG00000272793,chr6_GL000250v2_alt,-,104591
LINC01623,chr6_GL000250v2_alt,-,128934
HCG14,chr6_GL000250v2_alt,+,162113
TRIM27,chr6_GL000250v2_alt,-,189574
U6,chr6_GL000250v2_alt,+,181229
HCG15,chr6_GL000250v2_alt,+,251787
ENSG00000241408,chr6_GL000250v2_alt,+,252384
ZNF311,chr6_GL000250v2_alt,-,270941
OR2W1,chr6_GL000250v2_alt,-,310865
OR2B3,chr6_GL000250v2_alt,-,352936
OR2J3,chr6_GL000250v2_alt,+,377510
ENSG00000224229,chr6_GL000250v2_alt,+,389828
OR2J2,chr6_GL000250v2_alt,+,438928
LINC03003,chr6_GL000250v2_alt,+,532564
OR14J1,chr6_GL000250v2_alt,+,572355
OR5V1,chr6_GL000250v2_alt,-,697631
OR11A1,chr6_GL000250v2_alt,-,722731
OR10C1,chr6_GL000250v2_alt,+,704969
OR12D3,chr6_GL000250v2_alt,-,715763
OR2H1,chr6_GL000250v2_alt,+,722840
MAS1L,chr6_GL000250v2_alt,-,753563
LINC02829,chr6_GL000250v2_alt,+,763170
LINC01015,chr6_GL000250v2_alt,+,795086
UBD,chr6_GL000250v2_alt,-,825621
GABBR1,chr6_GL000250v2_alt,-,898877
SNORD32B,chr6_GL000250v2_alt,+,847942
OR2H2,chr6_GL000250v2_alt,+,853147
MOG,chr6_GL000250v2_alt,+,922689
ZFP57,chr6_GL000250v2_alt,-,938841
ENSG00000290543,chr6_GL000250v2_alt,+,1056692
HLA-G,chr6_GL000250v2_alt,+,1092578
HLA-A,chr6_GL000250v2_alt,+,1147347
POLR1HASP,chr6_GL000250v2_alt,-,1319738
ENSG00000290582,chr6_GL000250v2_alt,+,1264291
ENSG00000273601,chr6_GL000250v2_alt,+,1293975
ENSG00000276608,chr6_GL000250v2_alt,+,1316212
POLR1H,chr6_GL000250v2_alt,+,1316996
ENSG00000275424,chr6_GL000250v2_alt,+,1319177
PPP1R11,chr6_GL000250v2_alt,+,1324800
RNF39,chr6_GL000250v2_alt,-,1333979
TRIM31,chr6_GL000250v2_alt,-,1371196
TRIM31-AS1,chr6_GL000250v2_alt,+,1369807
ENSG00000265674,chr6_GL000250v2_alt,-,1391059
TRIM40,chr6_GL000250v2_alt,+,1394223
TRIM10,chr6_GL000250v2_alt,-,1419029
TRIM15,chr6_GL000250v2_alt,+,1421285
TRIM26,chr6_GL000250v2_alt,-,1471482
ENSG00000236729,chr6_GL000250v2_alt,-,1655624
HCG18,chr6_GL000250v2_alt,-,1656640
TRIM39,chr6_GL000250v2_alt,+,1655968
RPP21,chr6_GL000250v2_alt,+,1658801
LINC02569,chr6_GL000250v2_alt,+,1845769
GNL1,chr6_GL000250v2_alt,-,1883062
DHX16,chr6_GL000250v2_alt,-,2002543
PPP1R18,chr6_GL000250v2_alt,-,2017402
NRM,chr6_GL000250v2_alt,-,2020927
MDC1,chr6_GL000250v2_alt,-,2047393
MDC1-AS1,chr6_GL000250v2_alt,+,2032571
TUBB,chr6_GL000250v2_alt,+,2049703
FLOT1,chr6_GL000250v2_alt,-,2060006
DDR1,chr6_GL000250v2_alt,+,2214728
MUC21,chr6_GL000250v2_alt,+,2313217
MUC22,chr6_GL000250v2_alt,+,2359749
HCG22,chr6_GL000250v2_alt,+,2386019
MICB,chr6_GL000250v2_alt,+,2827448
Y_RNA,chr6_GL000250v2_alt,-,3111516
MCCD1,chr6_GL000250v2_alt,+,2861265
DDX39B,chr6_GL000250v2_alt,-,2871733
SNORD117,chr6_GL000250v2_alt,-,2868998
TNF,chr6_GL000250v2_alt,+,2909112
LTB,chr6_GL000250v2_alt,-,2915101
LST1,chr6_GL000250v2_alt,+,2918702
NCR3,chr6_GL000250v2_alt,-,2925564
MSH5,chr6_GL000250v2_alt,+,3089203
U6,chr6_GL000250v2_alt,-,3089665
MSH5-SAPCD1,chr6_GL000250v2_alt,+,3090776
SAPCD1,chr6_GL000250v2_alt,+,3095410
SAPCD1-AS1,chr6_GL000250v2_alt,-,3098200
VWA7,chr6_GL000250v2_alt,-,3109905
VARS1,chr6_GL000250v2_alt,-,3128564
LSM2,chr6_GL000250v2_alt,-,3139596
HSPA1L,chr6_GL000250v2_alt,-,3147687
HSPA1A,chr6_GL000250v2_alt,+,3148085
HSPA1B,chr6_GL000250v2_alt,+,3160359
SNHG32,chr6_GL000250v2_alt,+,3167222
SNORD48,chr6_GL000250v2_alt,+,3167877
SNORD52,chr6_GL000250v2_alt,+,3169691
NEU1,chr6_GL000250v2_alt,-,3195522
SLC44A4,chr6_GL000250v2_alt,-,3211661
EHMT2,chr6_GL000250v2_alt,-,3230309
ENSG00000232266,chr6_GL000250v2_alt,+,3216375
TNXB,chr6_GL000250v2_alt,-,3418718
5S_rRNA,chr6_GL000250v2_alt,-,3411229
PRRT1,chr6_GL000250v2_alt,-,3486972
PPT2,chr6_GL000250v2_alt,+,3486039
EGFL8,chr6_GL000250v2_alt,+,3497183
AGPAT1,chr6_GL000250v2_alt,-,3510698
RNF5,chr6_GL000250v2_alt,+,3510955
AGER,chr6_GL000250v2_alt,-,3516926
PBX2,chr6_GL000250v2_alt,-,3522785
GPSM3,chr6_GL000250v2_alt,-,3528122
NOTCH4,chr6_GL000250v2_alt,-,3536999
TSBP1,chr6_GL000250v2_alt,-,3704153
TSBP1-AS1,chr6_GL000250v2_alt,+,3722740
BTNL2,chr6_GL000250v2_alt,-,3739359
U1,chr6_GL000250v2_alt,-,3822089
HLA-DRB3,chr6_GL000250v2_alt,-,3837642
ENSG00000237577,chr6_GL000250v2_alt,+,4023852
HLA-DQA2,chr6_GL000250v2_alt,+,4047519
HLA-DQB2,chr6_GL000250v2_alt,-,4069674
HLA-DOB,chr6_GL000250v2_alt,-,4122072
TAP2,chr6_GL000250v2_alt,-,4143643
PSMB8,chr6_GL000250v2_alt,-,4149568
PSMB8-AS1,chr6_GL000250v2_alt,+,4148950
PSMB9,chr6_GL000250v2_alt,+,4149000
TAP1,chr6_GL000250v2_alt,-,4158843
ENSG00000293079,chr6_GL000250v2_alt,-,4184678
HLA-DMB,chr6_GL000250v2_alt,-,4257972
HLA-DMA,chr6_GL000250v2_alt,-,4257972
HLA-DPA1,chr6_GL000250v2_alt,-,4385443
HLA-DPB1,chr6_GL000250v2_alt,+,4380587
ENSG00000290540,chr6_GL000250v2_alt,+,4417075
GPX6,chr6_GL000251v2_alt,-,5624
GPX5,chr6_GL000251v2_alt,+,15892
SCAND3,chr6_GL000251v2_alt,-,77211
ZBED9-AS1,chr6_GL000251v2_alt,+,77253
LINC00533,chr6_GL000251v2_alt,-,144356
ENSG00000237006,chr6_GL000251v2_alt,-,329525
LINC01623,chr6_GL000251v2_alt,-,353890
HCG14,chr6_GL000251v2_alt,+,387228
TRIM27,chr6_GL000251v2_alt,-,414688
U6,chr6_GL000251v2_alt,+,406341
LINC01556,chr6_GL000251v2_alt,+,430281
Metazoa_SRP,chr6_GL000251v2_alt,+,463948
HCG15,chr6_GL000251v2_alt,+,472675
ENSG00000239940,chr6_GL000251v2_alt,+,473272
ZNF311,chr6_GL000251v2_alt,-,491796
OR2W1,chr6_GL000251v2_alt,-,531728
ENSG00000274063,chr6_GL000251v2_alt,+,550473
OR2B3,chr6_GL000251v2_alt,-,573857
OR2J3,chr6_GL000251v2_alt,+,598438
ENSG00000232272,chr6_GL000251v2_alt,+,610758
OR2J2,chr6_GL000251v2_alt,+,659845
LINC03003,chr6_GL000251v2_alt,+,710538
OR14J1,chr6_GL000251v2_alt,+,793279
OR5V1,chr6_GL000251v2_alt,-,918416
OR12D3,chr6_GL000251v2_alt,-,936549
OR12D2,chr6_GL000251v2_alt,+,883015
OR11A1,chr6_GL000251v2_alt,-,943524
OR10C1,chr6_GL000251v2_alt,+,925754
OR2H1,chr6_GL000251v2_alt,+,943633
MAS1L,chr6_GL000251v2_alt,-,974354
LINC02829,chr6_GL000251v2_alt,+,983960
LINC01015,chr6_GL000251v2_alt,+,1015882
UBD,chr6_GL000251v2_alt,-,1046406
GABBR1,chr6_GL000251v2_alt,-,1119641
SNORD32B,chr6_GL000251v2_alt,+,1068728
OR2H2,chr6_GL000251v2_alt,+,1073934
MOG,chr6_GL000251v2_alt,+,1143452
ZFP57,chr6_GL000251v2_alt,-,1167618
HLA-F,chr6_GL000251v2_alt,+,1206634
HLA-F-AS1,chr6_GL000251v2_alt,-,1232895
Y_RNA,chr6_GL000251v2_alt,+,1234215
HLA-V,chr6_GL000251v2_alt,+,1275134
HLA-G,chr6_GL000251v2_alt,+,1310528
HLA-A,chr6_GL000251v2_alt,+,1369021
HCG9,chr6_GL000251v2_alt,+,1454488
POLR1HASP,chr6_GL000251v2_alt,-,1541417
ENSG00000290452,chr6_GL000251v2_alt,+,1485967
ENSG00000276049,chr6_GL000251v2_alt,+,1515650
ENSG00000274071,chr6_GL000251v2_alt,+,1537891
POLR1H,chr6_GL000251v2_alt,+,1538675
ENSG00000276034,chr6_GL000251v2_alt,+,1540856
PPP1R11,chr6_GL000251v2_alt,+,1546479
RNF39,chr6_GL000251v2_alt,-,1555658
TRIM31,chr6_GL000251v2_alt,-,1592905
TRIM31-AS1,chr6_GL000251v2_alt,+,1585032
ENSG00000265495,chr6_GL000251v2_alt,-,1612770
TRIM40,chr6_GL000251v2_alt,+,1615912
TRIM10,chr6_GL000251v2_alt,-,1640740
TRIM15,chr6_GL000251v2_alt,+,1643003
TRIM26,chr6_GL000251v2_alt,-,1693198
HCG17,chr6_GL000251v2_alt,-,1805811
HLA-L,chr6_GL000251v2_alt,+,1739363
HCG18,chr6_GL000251v2_alt,-,1806827
TRIM39,chr6_GL000251v2_alt,+,1806155
RPP21,chr6_GL000251v2_alt,+,1808988
HLA-E,chr6_GL000251v2_alt,+,1969201
LINC02569,chr6_GL000251v2_alt,+,1995988
GNL1,chr6_GL000251v2_alt,-,2036894
PRR3,chr6_GL000251v2_alt,+,2036605
ABCF1,chr6_GL000251v2_alt,+,2051097
PPP1R10,chr6_GL000251v2_alt,-,2098336
MRPS18B,chr6_GL000251v2_alt,+,2097432
ATAT1,chr6_GL000251v2_alt,+,2106565
C6orf136,chr6_GL000251v2_alt,+,2126760
DHX16,chr6_GL000251v2_alt,-,2152781
PPP1R18,chr6_GL000251v2_alt,-,2167639
NRM,chr6_GL000251v2_alt,-,2171164
MDC1,chr6_GL000251v2_alt,-,2197629
MDC1-AS1,chr6_GL000251v2_alt,+,2182807
TUBB,chr6_GL000251v2_alt,+,2199939
FLOT1,chr6_GL000251v2_alt,-,2222473
Y_RNA,chr6_GL000251v2_alt,-,3256147
IER3,chr6_GL000251v2_alt,-,2224294
HCG20,chr6_GL000251v2_alt,+,2246538
ENSG00000236006,chr6_GL000251v2_alt,-,2310390
LINC02570,chr6_GL000251v2_alt,-,2327898
7SK,chr6_GL000251v2_alt,+,2343997
DDR1-DT,chr6_GL000251v2_alt,-,2355691
DDR1,chr6_GL000251v2_alt,+,2360743
GTF2H4,chr6_GL000251v2_alt,+,2387929
ENSG00000285224,chr6_GL000251v2_alt,+,2387987
VARS2,chr6_GL000251v2_alt,+,2393950
SFTA2,chr6_GL000251v2_alt,-,2411769
MUCL3,chr6_GL000251v2_alt,+,2420583
HCG21,chr6_GL000251v2_alt,-,2434436
MUC21,chr6_GL000251v2_alt,+,2463288
MUC22,chr6_GL000251v2_alt,+,2490064
HCG22,chr6_GL000251v2_alt,+,2535826
C6orf15,chr6_GL000251v2_alt,-,2594934
PSORS1C1,chr6_GL000251v2_alt,+,2597124
CDSN,chr6_GL000251v2_alt,-,2602822
PSORS1C2,chr6_GL000251v2_alt,-,2621743
CCHCR1,chr6_GL000251v2_alt,-,2640641
TCF19,chr6_GL000251v2_alt,+,2640969
POU5F1,chr6_GL000251v2_alt,-,2653135
PSORS1C3,chr6_GL000251v2_alt,-,2660341
HCG27,chr6_GL000251v2_alt,+,2680203
ENSG00000228583,chr6_GL000251v2_alt,-,2684361
HLA-C,chr6_GL000251v2_alt,-,2753056
HLA-B,chr6_GL000251v2_alt,-,2837604
MICA,chr6_GL000251v2_alt,+,2880150
LINC01149,chr6_GL000251v2_alt,+,2921971
HCP5,chr6_GL000251v2_alt,+,2940499
MICB,chr6_GL000251v2_alt,+,2975425
MCCD1,chr6_GL000251v2_alt,+,3006049
DDX39B,chr6_GL000251v2_alt,-,3023908
SNORD117,chr6_GL000251v2_alt,-,3013782
SNORD84,chr6_GL000251v2_alt,-,3018508
DDX39B-AS1,chr6_GL000251v2_alt,+,3019633
ATP6V1G2,chr6_GL000251v2_alt,-,3024174
NFKBIL1,chr6_GL000251v2_alt,+,3024195
LTA,chr6_GL000251v2_alt,+,3049340
TNF,chr6_GL000251v2_alt,+,3052853
LTB,chr6_GL000251v2_alt,-,3059809
LST1,chr6_GL000251v2_alt,+,3063410
NCR3,chr6_GL000251v2_alt,-,3070268
AIF1,chr6_GL000251v2_alt,+,3092472
PRRC2A,chr6_GL000251v2_alt,+,3098007
SNORA38,chr6_GL000251v2_alt,+,3100363
BAG6,chr6_GL000251v2_alt,-,3129995
APOM,chr6_GL000251v2_alt,+,3129705
C6orf47,chr6_GL000251v2_alt,-,3138059
C6orf47-AS1,chr6_GL000251v2_alt,+,3135617
GPANK1,chr6_GL000251v2_alt,-,3143574
CSNK2B,chr6_GL000251v2_alt,+,3142526
LY6G5B,chr6_GL000251v2_alt,+,3146408
LY6G5C,chr6_GL000251v2_alt,-,3161330
ABHD16A,chr6_GL000251v2_alt,-,3180705
LY6G6F,chr6_GL000251v2_alt,+,3184174
LY6G6D,chr6_GL000251v2_alt,+,3184193
LY6G6E,chr6_GL000251v2_alt,-,3191096
MPIG6B,chr6_GL000251v2_alt,+,3195881
LY6G6C,chr6_GL000251v2_alt,-,3199133
DDAH2,chr6_GL000251v2_alt,-,3207905
CLIC1,chr6_GL000251v2_alt,-,3217043
MSH5,chr6_GL000251v2_alt,+,3217270
MSH5-SAPCD1,chr6_GL000251v2_alt,+,3217299
U6,chr6_GL000251v2_alt,-,3234310
SAPCD1,chr6_GL000251v2_alt,+,3240055
SAPCD1-AS1,chr6_GL000251v2_alt,-,3242846
VWA7,chr6_GL000251v2_alt,-,3254536
VARS1,chr6_GL000251v2_alt,-,3273193
LSM2,chr6_GL000251v2_alt,-,3284226
HSPA1L,chr6_GL000251v2_alt,-,3292316
HSPA1A,chr6_GL000251v2_alt,+,3292714
HSPA1B,chr6_GL000251v2_alt,+,3304987
SNHG32,chr6_GL000251v2_alt,+,3311854
SNORD48,chr6_GL000251v2_alt,+,3312509
SNORD52,chr6_GL000251v2_alt,+,3314320
NEU1,chr6_GL000251v2_alt,-,3340324
SLC44A4,chr6_GL000251v2_alt,-,3356471
EHMT2,chr6_GL000251v2_alt,-,3375112
ENSG00000223557,chr6_GL000251v2_alt,+,3361185
C2,chr6_GL000251v2_alt,+,3375209
ZBTB12,chr6_GL000251v2_alt,-,3379417
C4B-AS1,chr6_GL000251v2_alt,-,3419151
CFB,chr6_GL000251v2_alt,+,3423076
NELFE,chr6_GL000251v2_alt,-,3436519
SKIC2,chr6_GL000251v2_alt,+,3436506
DXO,chr6_GL000251v2_alt,-,3449719
STK19,chr6_GL000251v2_alt,+,3448601
C4B,chr6_GL000251v2_alt,+,3459450
ENSG00000236587,chr6_GL000251v2_alt,-,3474580
CYP21A2,chr6_GL000251v2_alt,+,3476619
TNXB,chr6_GL000251v2_alt,-,3555943
5S_rRNA,chr6_GL000251v2_alt,-,3516966
ATF6B,chr6_GL000251v2_alt,-,3566584
FKBPL,chr6_GL000251v2_alt,-,3568622
PRRT1,chr6_GL000251v2_alt,-,3592712
PPT2,chr6_GL000251v2_alt,+,3591779
ENSG00000254778,chr6_GL000251v2_alt,+,3592183
EGFL8,chr6_GL000251v2_alt,+,3602934
AGPAT1,chr6_GL000251v2_alt,-,3616448
RNF5,chr6_GL000251v2_alt,+,3616711
AGER,chr6_GL000251v2_alt,-,3622676
PBX2,chr6_GL000251v2_alt,-,3628535
GPSM3,chr6_GL000251v2_alt,-,3633872
NOTCH4,chr6_GL000251v2_alt,-,3662414
TSBP1,chr6_GL000251v2_alt,-,3810038
TSBP1-AS1,chr6_GL000251v2_alt,+,3828609
BTNL2,chr6_GL000251v2_alt,-,3845208
HLA-DRA,chr6_GL000251v2_alt,+,3877967
RNU1-79P,chr6_GL000251v2_alt,-,3931580
HLA-DRB3,chr6_GL000251v2_alt,-,3947156
U1,chr6_GL000251v2_alt,-,3969768
RNU1-116P,chr6_GL000251v2_alt,-,3995728
HLA-DRB1,chr6_GL000251v2_alt,-,4028652
HLA-DQA2,chr6_GL000251v2_alt,+,4055483
HLA-DQB1,chr6_GL000251v2_alt,-,4079982
HLA-DQB1-AS1,chr6_GL000251v2_alt,+,4072820
ENSG00000243252,chr6_GL000251v2_alt,-,4075422
ENSG00000232026,chr6_GL000251v2_alt,+,4131284
HLA-DQB2,chr6_GL000251v2_alt,-,4177108
HLA-DOB,chr6_GL000251v2_alt,-,4229249
TAP2,chr6_GL000251v2_alt,-,4250979
PSMB8,chr6_GL000251v2_alt,-,4256902
PSMB8-AS1,chr6_GL000251v2_alt,+,4256284
PSMB9,chr6_GL000251v2_alt,+,4256334
TAP1,chr6_GL000251v2_alt,-,4266177
ENSG00000292981,chr6_GL000251v2_alt,-,4292047
HLA-DMB,chr6_GL000251v2_alt,-,4365322
HLA-DMA,chr6_GL000251v2_alt,-,4382925
BRD2,chr6_GL000251v2_alt,+,4380868
ENSG00000234673,chr6_GL000251v2_alt,+,4382511
HLA-DOA,chr6_GL000251v2_alt,-,4421780
HLA-DPA1,chr6_GL000251v2_alt,-,4492625
HLA-DPB1,chr6_GL000251v2_alt,+,4487776
ENSG00000290392,chr6_GL000251v2_alt,+,4524221
HCG24,chr6_GL000251v2_alt,+,4556274
COL11A2,chr6_GL000251v2_alt,-,4604006
RXRB,chr6_GL000251v2_alt,-,4612358
SLC39A7,chr6_GL000251v2_alt,+,4611949
HSD17B8,chr6_GL000251v2_alt,+,4616146
RING1,chr6_GL000251v2_alt,+,4619997
HCG25,chr6_GL000251v2_alt,+,4661030
VPS52,chr6_GL000251v2_alt,-,4683528
RPS18,chr6_GL000251v2_alt,+,4683490
B3GALT4,chr6_GL000251v2_alt,+,4688612
WDR46,chr6_GL000251v2_alt,-,4701012
PFDN6,chr6_GL000251v2_alt,+,4700786
RGL2,chr6_GL000251v2_alt,-,4710809
TAPBP,chr6_GL000251v2_alt,-,4725870
ZBTB22,chr6_GL000251v2_alt,-,4729427
DAXX,chr6_GL000251v2_alt,-,4740754
ENSG00000235460,chr6_GL000252v2_alt,-,104608
LINC01623,chr6_GL000252v2_alt,-,128952
Metazoa_SRP,chr6_GL000252v2_alt,+,243077
HCG15,chr6_GL000252v2_alt,+,251805
ENSG00000239675,chr6_GL000252v2_alt,+,252402
ZNF311,chr6_GL000252v2_alt,-,270919
OR2W1,chr6_GL000252v2_alt,-,310843
ENSG00000275606,chr6_GL000252v2_alt,+,329598
OR2B3,chr6_GL000252v2_alt,-,352914
OR2J3,chr6_GL000252v2_alt,+,377492
ENSG00000227448,chr6_GL000252v2_alt,+,389810
OR2J2,chr6_GL000252v2_alt,+,438909
LINC03003,chr6_GL000252v2_alt,+,489610
OR14J1,chr6_GL000252v2_alt,+,572332
OR12D3,chr6_GL000252v2_alt,-,715620
OR12D2,chr6_GL000252v2_alt,+,662063
OR12D1,chr6_GL000252v2_alt,+,680443
OR5V1,chr6_GL000252v2_alt,-,697489
OR11A1,chr6_GL000252v2_alt,-,722594
OR10C1,chr6_GL000252v2_alt,+,704827
OR2H1,chr6_GL000252v2_alt,+,722703
MAS1L,chr6_GL000252v2_alt,-,753425
LINC02829,chr6_GL000252v2_alt,+,763031
LINC01015,chr6_GL000252v2_alt,+,794946
UBD,chr6_GL000252v2_alt,-,825468
GABBR1,chr6_GL000252v2_alt,-,898710
SNORD32B,chr6_GL000252v2_alt,+,847797
OR2H2,chr6_GL000252v2_alt,+,853003
MOG,chr6_GL000252v2_alt,+,922525
ZFP57,chr6_GL000252v2_alt,-,946648
HLA-F,chr6_GL000252v2_alt,+,985848
HLA-F-AS1,chr6_GL000252v2_alt,-,1012119
Y_RNA,chr6_GL000252v2_alt,+,1013439
HLA-V,chr6_GL000252v2_alt,+,1053844
HLA-G,chr6_GL000252v2_alt,+,1089779
HLA-A,chr6_GL000252v2_alt,+,1144954
HCG9,chr6_GL000252v2_alt,+,1230637
POLR1HASP,chr6_GL000252v2_alt,-,1317562
ENSG00000290442,chr6_GL000252v2_alt,+,1262117
ENSG00000275415,chr6_GL000252v2_alt,+,1291801
ENSG00000273764,chr6_GL000252v2_alt,+,1314036
POLR1H,chr6_GL000252v2_alt,+,1314820
ENSG00000274401,chr6_GL000252v2_alt,+,1317001
PPP1R11,chr6_GL000252v2_alt,+,1322624
RNF39,chr6_GL000252v2_alt,-,1331803
TRIM31,chr6_GL000252v2_alt,-,1369016
TRIM31-AS1,chr6_GL000252v2_alt,+,1361156
ENSG00000265138,chr6_GL000252v2_alt,-,1388879
TRIM40,chr6_GL000252v2_alt,+,1392025
TRIM10,chr6_GL000252v2_alt,-,1416850
TRIM15,chr6_GL000252v2_alt,+,1419106
TRIM26,chr6_GL000252v2_alt,-,1469303
HCG17,chr6_GL000252v2_alt,-,1581974
HLA-L,chr6_GL000252v2_alt,+,1515465
HCG18,chr6_GL000252v2_alt,-,1582990
TRIM39,chr6_GL000252v2_alt,+,1582318
RPP21,chr6_GL000252v2_alt,+,1585151
HLA-E,chr6_GL000252v2_alt,+,1745298
LINC02569,chr6_GL000252v2_alt,+,1772089
GNL1,chr6_GL000252v2_alt,-,1812998
PRR3,chr6_GL000252v2_alt,+,1812709
ABCF1,chr6_GL000252v2_alt,+,1827202
PPP1R10,chr6_GL000252v2_alt,-,1874442
MRPS18B,chr6_GL000252v2_alt,+,1873538
ATAT1,chr6_GL000252v2_alt,+,1882671
C6orf136,chr6_GL000252v2_alt,+,1902867
DHX16,chr6_GL000252v2_alt,-,1928891
PPP1R18,chr6_GL000252v2_alt,-,1943749
NRM,chr6_GL000252v2_alt,-,1947274
MDC1,chr6_GL000252v2_alt,-,1973740
MDC1-AS1,chr6_GL000252v2_alt,+,1958918
TUBB,chr6_GL000252v2_alt,+,1976050
FLOT1,chr6_GL000252v2_alt,-,1998584
Y_RNA,chr6_GL000252v2_alt,-,3026679
IER3,chr6_GL000252v2_alt,-,2000405
HCG20,chr6_GL000252v2_alt,+,2022798
ENSG00000227596,chr6_GL000252v2_alt,-,2086923
LINC02570,chr6_GL000252v2_alt,-,2104421
7SK,chr6_GL000252v2_alt,+,2120522
DDR1-DT,chr6_GL000252v2_alt,-,2132199
DDR1,chr6_GL000252v2_alt,+,2137269
GTF2H4,chr6_GL000252v2_alt,+,2164487
ENSG00000285192,chr6_GL000252v2_alt,+,2164545
VARS2,chr6_GL000252v2_alt,+,2170508
SFTA2,chr6_GL000252v2_alt,-,2188477
MUCL3,chr6_GL000252v2_alt,+,2197307
HCG21,chr6_GL000252v2_alt,-,2211168
MUC21,chr6_GL000252v2_alt,+,2240020
MUC22,chr6_GL000252v2_alt,+,2286554
HCG22,chr6_GL000252v2_alt,+,2312820
U6,chr6_GL000252v2_alt,+,2342380
C6orf15,chr6_GL000252v2_alt,-,2371923
PSORS1C1,chr6_GL000252v2_alt,+,2374113
CDSN,chr6_GL000252v2_alt,-,2379793
PSORS1C2,chr6_GL000252v2_alt,-,2398680
CCHCR1,chr6_GL000252v2_alt,-,2417533
TCF19,chr6_GL000252v2_alt,+,2417861
POU5F1,chr6_GL000252v2_alt,-,2430027
PSORS1C3,chr6_GL000252v2_alt,-,2437233
HCG27,chr6_GL000252v2_alt,+,2457091
ENSG00000228469,chr6_GL000252v2_alt,-,2461249
HLA-C,chr6_GL000252v2_alt,-,2529920
MICB,chr6_GL000252v2_alt,+,2745693
MCCD1,chr6_GL000252v2_alt,+,2776489
DDX39B,chr6_GL000252v2_alt,-,2794348
SNORD117,chr6_GL000252v2_alt,-,2784221
SNORD84,chr6_GL000252v2_alt,-,2788948
DDX39B-AS1,chr6_GL000252v2_alt,+,2790073
ATP6V1G2,chr6_GL000252v2_alt,-,2794614
NFKBIL1,chr6_GL000252v2_alt,+,2794635
LTA,chr6_GL000252v2_alt,+,2819784
TNF,chr6_GL000252v2_alt,+,2823299
LTB,chr6_GL000252v2_alt,-,2830255
LST1,chr6_GL000252v2_alt,+,2833858
NCR3,chr6_GL000252v2_alt,-,2840722
AIF1,chr6_GL000252v2_alt,+,2862950
PRRC2A,chr6_GL000252v2_alt,+,2868483
SNORA38,chr6_GL000252v2_alt,+,2870845
BAG6,chr6_GL000252v2_alt,-,2900476
APOM,chr6_GL000252v2_alt,+,2900186
C6orf47,chr6_GL000252v2_alt,-,2908543
C6orf47-AS1,chr6_GL000252v2_alt,+,2906099
GPANK1,chr6_GL000252v2_alt,-,2914055
CSNK2B,chr6_GL000252v2_alt,+,2913006
ENSG00000258589,chr6_GL000252v2_alt,+,2913650
LY6G5B,chr6_GL000252v2_alt,+,2918150
LY6G5C,chr6_GL000252v2_alt,-,2931813
ABHD16A,chr6_GL000252v2_alt,-,2951180
LY6G6F,chr6_GL000252v2_alt,+,2954648
LY6G6F-LY6G6D,chr6_GL000252v2_alt,+,2954667
LY6G6E,chr6_GL000252v2_alt,-,2961574
LY6G6D,chr6_GL000252v2_alt,+,2963117
MPIG6B,chr6_GL000252v2_alt,+,2966355
LY6G6C,chr6_GL000252v2_alt,-,2969607
DDAH2,chr6_GL000252v2_alt,-,2978378
CLIC1,chr6_GL000252v2_alt,-,2987529
MSH5,chr6_GL000252v2_alt,+,2987756
MSH5-SAPCD1,chr6_GL000252v2_alt,+,2987785
U6,chr6_GL000252v2_alt,-,3004827
SAPCD1,chr6_GL000252v2_alt,+,3010572
SAPCD1-AS1,chr6_GL000252v2_alt,-,3013362
VWA7,chr6_GL000252v2_alt,-,3025068
VARS1,chr6_GL000252v2_alt,-,3043727
LSM2,chr6_GL000252v2_alt,-,3054759
HSPA1L,chr6_GL000252v2_alt,-,3062844
HSPA1A,chr6_GL000252v2_alt,+,3063242
HSPA1B,chr6_GL000252v2_alt,+,3075513
SNHG32,chr6_GL000252v2_alt,+,3082386
SNORD48,chr6_GL000252v2_alt,+,3083041
SNORD52,chr6_GL000252v2_alt,+,3084853
NEU1,chr6_GL000252v2_alt,-,3110684
SLC44A4,chr6_GL000252v2_alt,-,3126820
EHMT2,chr6_GL000252v2_alt,-,3145461
ENSG00000236903,chr6_GL000252v2_alt,+,3131534
C2,chr6_GL000252v2_alt,+,3145558
ZBTB12,chr6_GL000252v2_alt,-,3149766
C4B-AS1,chr6_GL000252v2_alt,-,3189502
CFB,chr6_GL000252v2_alt,+,3193429
NELFE,chr6_GL000252v2_alt,-,3206867
SKIC2,chr6_GL000252v2_alt,+,3206854
DXO,chr6_GL000252v2_alt,-,3220067
STK19,chr6_GL000252v2_alt,+,3218949
C4A,chr6_GL000252v2_alt,+,3229796
C4A-AS1,chr6_GL000252v2_alt,-,3251295
ENSG00000290370,chr6_GL000252v2_alt,+,3253410
ENSG00000269167,chr6_GL000252v2_alt,-,3254879
C4B,chr6_GL000252v2_alt,+,3262536
